Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2024-08-23,34.0,37.0,34.0,35.0,393972
2024-08-26,37.0,46.0,37.0,44.0,1326065
2024-08-27,36.0,39.0,36.0,39.0,400960
2024-08-28,30.0,35.0,29.0,35.0,401744
2024-08-29,26.0,31.0,23.0,30.0,244689
2024-08-30,23.0,26.0,22.0,25.0,182397
2024-09-03,17.0,21.0,16.0,21.0,282055
2024-09-04,16.0,17.0,16.0,17.0,146017
2024-09-05,16.0,17.0,15.0,17.0,95213
2024-09-06,14.0,16.0,13.0,16.0,171599
2024-09-09,17.0,23.0,16.0,23.0,2294650
2024-09-10,16.0,17.0,15.0,17.0,253026
2024-09-11,15.0,16.0,14.0,15.0,169027
2024-09-12,16.0,17.0,15.0,15.0,199729
2024-09-13,16.0,16.0,15.0,16.0,144638
2024-09-16,15.0,16.0,15.0,16.0,126348
2024-09-17,15.0,15.0,14.0,15.0,119525
2024-09-18,15.0,15.0,14.0,15.0,90800
2024-09-19,15.0,17.0,15.0,16.0,280458
2024-09-20,15.0,15.0,14.0,15.0,102531
2024-09-23,13.0,14.0,13.0,14.0,173670
2024-09-24,13.0,14.0,13.0,14.0,98115
2024-09-25,13.0,13.0,13.0,13.0,92952
2024-09-26,14.0,14.0,13.0,14.0,59108
2024-09-27,15.0,21.0,14.0,18.0,2076161
2024-09-30,15.0,15.0,14.0,15.0,193417
2024-10-01,14.0,14.0,13.0,14.0,190353
2024-10-02,13.0,14.0,13.0,14.0,100280
2024-10-03,13.0,13.0,12.0,13.0,197803
2024-10-04,14.0,15.0,12.0,13.0,211153
2024-10-07,14.0,15.0,14.0,14.0,154708
2024-10-08,14.0,18.0,14.0,17.0,470552
2024-10-09,15.0,15.0,13.0,14.0,158760
2024-10-10,14.0,15.0,14.0,14.0,115358
2024-10-11,15.0,15.0,14.0,14.0,71204
2024-10-14,15.0,15.0,14.0,15.0,84886
2024-10-15,14.0,15.0,14.0,15.0,89372
2024-10-16,16.0,16.0,14.0,15.0,397950
2024-10-17,18.0,20.0,16.0,17.0,920992
2024-10-18,18.0,19.0,16.0,19.0,320065
2024-10-21,19.0,20.0,18.0,18.0,359749
2024-10-22,18.0,19.0,18.0,19.0,201367
2024-10-23,17.0,18.0,16.0,18.0,151591
2024-10-24,16.0,17.0,16.0,17.0,121484
2024-10-25,17.0,17.0,16.0,16.0,105199
2024-10-28,18.0,18.0,17.0,17.0,162291
2024-10-29,17.0,18.0,16.0,17.0,118413
2024-10-30,15.0,18.0,15.0,17.0,145650
2024-10-31,15.0,16.0,14.0,15.0,145836
2024-11-01,14.0,15.0,14.0,15.0,124998
2024-11-04,14.0,15.0,14.0,15.0,146090
2024-11-05,14.0,14.0,14.0,14.0,117468
2024-11-06,14.0,14.0,13.0,14.0,101357
2024-11-07,14.0,15.0,14.0,14.0,95984
2024-11-08,14.0,14.0,13.0,14.0,68907
2024-11-11,14.0,15.0,14.0,15.0,75959
2024-11-12,14.0,15.0,14.0,14.0,164654
2024-11-13,14.0,15.0,14.0,15.0,144944
2024-11-14,14.0,14.0,14.0,14.0,115544
2024-11-15,13.0,14.0,13.0,14.0,105092
2024-11-18,13.0,13.0,13.0,13.0,86775
2024-11-19,16.0,16.0,13.0,13.0,938170
2024-11-20,19.0,28.0,18.0,26.0,6626768
2024-11-21,20.0,21.0,17.0,17.0,765164
2024-11-22,19.0,21.0,19.0,20.0,299968
2024-11-25,19.0,21.0,19.0,19.0,468494
2024-11-26,19.0,20.0,18.0,19.0,239536
2024-11-27,19.0,20.0,18.0,19.0,215194
2024-11-29,19.0,21.0,19.0,19.0,289992
2024-12-02,19.0,20.0,18.0,19.0,312444
2024-12-03,19.0,20.0,18.0,19.0,271489
2024-12-04,17.0,19.0,17.0,19.0,228798
2024-12-05,17.0,18.0,16.0,18.0,220809
2024-12-06,18.0,18.0,17.0,17.0,209952
2024-12-09,19.0,20.0,19.0,19.0,325007
2024-12-10,20.0,21.0,18.0,19.0,368571
2024-12-11,20.0,21.0,19.0,20.0,228528
2024-12-12,23.0,26.0,21.0,22.0,1097501
2024-12-13,24.0,25.0,22.0,24.0,511084
2024-12-16,53.0,56.0,28.0,30.0,11965943
2024-12-17,33.0,130.0,32.0,127.0,10183233
2024-12-18,36.0,44.0,35.0,41.0,3179556
2024-12-19,57.0,72.0,32.0,36.0,7251726
2024-12-20,61.0,70.0,53.0,56.0,2932219
2024-12-23,40.0,53.0,40.0,50.0,1953598
2024-12-24,39.0,43.0,37.0,41.0,782511
2024-12-26,37.0,39.0,35.0,38.0,776989
